[setup] loading DNACorpus splits
[setup] DNACorpus splits loaded: sources=17 train_bytes=411358271 val_bytes=137119419 test_bytes=137119434 elapsed=7.0s
[setup] tokenizing 17 source(s) with Nugget tokenizer=fixed_kmer
[cache] nugget_tokenized enabled=True dir=datasets/DNACorpus/.dna_cache/nugget_tokens hits=51 created=0 rebuilt=0 disabled=0 load=0.57s build=0.00s write=0.00s elapsed=0.6s
[setup] training dataset ready: tokenized_sources=17 samples_per_epoch=1200000
[setup] validation dataset ready: tokenized_sources=17 windows=44645
[setup] test dataset ready: tokenized_sources=17 windows=44645
[setup] building Nugget model backbone=bart vocab_size=15627
[setup] built Nugget model parameters=146,875,393
[setup] loading checkpoint outputs/dna_nugget_modified_20260425_220128/best.pt
[setup] pretrained weights loaded: scope=decoder tensors=163 missing=158 unexpected=0
[setup] moving model to device=cuda:0
/root/autodl-tmp/DNACompress/dna_compress/nugget_experiment.py:606: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda" and config.train.dtype == "float16")
[startup] loaded checkpoint=outputs/dna_nugget_modified_20260425_220128/best.pt init_from=pretrained optimizer_restored=False scheduler_restored=False
[setup] starting training epochs=1 steps_per_epoch=37500
[train] epoch=1 step=1975 loss/token=2.1820 decoder_loss=2.1820 bits/base=0.5247 decoder_bpb=0.5247 latent_bpb=2048.0104 total_bpb=2048.5351 grad_norm=50.7529 tokens/s=50356.3 lr=4.98238e-05
[train] epoch=1 step=2000 loss/token=1.8739 decoder_loss=1.8739 bits/base=0.4506 decoder_bpb=0.4506 latent_bpb=2048.0104 total_bpb=2048.4610 grad_norm=51.0949 tokens/s=50368.9 lr=4.98178e-05
[stage] running validation at step=2000...
[eval] val step=2000 loss/token=1.7550 bits/base=0.4220 decoder_bpb=0.4220 latent_bpb=2048.0104 total_bpb=2048.4324 bits/token=2.5320 tokens=22853228 bases=137119368 elapsed=189.8s
[train] epoch=1 step=2025 loss/token=1.8571 decoder_loss=1.8571 bits/base=0.4465 decoder_bpb=0.4465 latent_bpb=2048.0104 total_bpb=2048.4570 grad_norm=48.2233 tokens/s=2029.1 lr=4.98116e-05
[train] epoch=1 step=2050 loss/token=1.4954 decoder_loss=1.4954 bits/base=0.3596 decoder_bpb=0.3596 latent_bpb=2048.0104 total_bpb=2048.3700 grad_norm=31.4008 tokens/s=50372.5 lr=4.98054e-05
[train] epoch=1 step=2075 loss/token=1.6678 decoder_loss=1.6678 bits/base=0.4010 decoder_bpb=0.4010 latent_bpb=2048.0104 total_bpb=2048.4114 grad_norm=55.2640 tokens/s=50380.6 lr=4.97991e-05
[train] epoch=1 step=2100 loss/token=1.5844 decoder_loss=1.5844 bits/base=0.3810 decoder_bpb=0.3810 latent_bpb=2048.0104 total_bpb=2048.3914 grad_norm=55.4069 tokens/s=50378.8 lr=4.97927e-05
[train] epoch=1 step=2125 loss/token=1.2687 decoder_loss=1.2687 bits/base=0.3051 decoder_bpb=0.3051 latent_bpb=2048.0104 total_bpb=2048.3155 grad_norm=41.1538 tokens/s=50374.4 lr=4.97862e-05
[train] epoch=1 step=2150 loss/token=1.3581 decoder_loss=1.3581 bits/base=0.3266 decoder_bpb=0.3266 latent_bpb=2048.0104 total_bpb=2048.3370 grad_norm=60.5544 tokens/s=50378.0 lr=4.97796e-05
[train] epoch=1 step=2175 loss/token=1.0898 decoder_loss=1.0898 bits/base=0.2620 decoder_bpb=0.2620 latent_bpb=2048.0104 total_bpb=2048.2724 grad_norm=35.2614 tokens/s=50358.2 lr=4.97728e-05
[train] epoch=1 step=2200 loss/token=1.1649 decoder_loss=1.1649 bits/base=0.2801 decoder_bpb=0.2801 latent_bpb=2048.0104 total_bpb=2048.2905 grad_norm=47.9916 tokens/s=50389.5 lr=4.9766e-05
[train] epoch=1 step=2225 loss/token=1.1402 decoder_loss=1.1402 bits/base=0.2741 decoder_bpb=0.2741 latent_bpb=2048.0104 total_bpb=2048.2846 grad_norm=59.7328 tokens/s=50387.4 lr=4.97591e-05
[train] epoch=1 step=2250 loss/token=1.0281 decoder_loss=1.0281 bits/base=0.2472 decoder_bpb=0.2472 latent_bpb=2048.0104 total_bpb=2048.2576 grad_norm=37.3103 tokens/s=50384.1 lr=4.97521e-05
[train] epoch=1 step=2275 loss/token=0.8742 decoder_loss=0.8742 bits/base=0.2102 decoder_bpb=0.2102 latent_bpb=2048.0104 total_bpb=2048.2206 grad_norm=29.4767 tokens/s=50380.0 lr=4.9745e-05
[train] epoch=1 step=2300 loss/token=0.6885 decoder_loss=0.6885 bits/base=0.1655 decoder_bpb=0.1655 latent_bpb=2048.0104 total_bpb=2048.1760 grad_norm=27.1069 tokens/s=50370.4 lr=4.97377e-05
[train] epoch=1 step=2325 loss/token=0.6924 decoder_loss=0.6924 bits/base=0.1665 decoder_bpb=0.1665 latent_bpb=2048.0104 total_bpb=2048.1769 grad_norm=27.1540 tokens/s=50369.8 lr=4.97304e-05
[train] epoch=1 step=2350 loss/token=0.6764 decoder_loss=0.6764 bits/base=0.1626 decoder_bpb=0.1626 latent_bpb=2048.0104 total_bpb=2048.1731 grad_norm=31.5886 tokens/s=50381.0 lr=4.9723e-05
[train] epoch=1 step=2375 loss/token=0.6931 decoder_loss=0.6931 bits/base=0.1667 decoder_bpb=0.1667 latent_bpb=2048.0104 total_bpb=2048.1771 grad_norm=35.8269 tokens/s=50385.0 lr=4.97155e-05
[train] epoch=1 step=2400 loss/token=0.6282 decoder_loss=0.6282 bits/base=0.1511 decoder_bpb=0.1511 latent_bpb=2048.0104 total_bpb=2048.1615 grad_norm=25.9672 tokens/s=50381.3 lr=4.97078e-05
