split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
val,train_windows_nonoverlap,HePy,60000,60000,1.8152608561197916,1.8170666666666666,2097152,19564,0.01,0.009328842163085938,60000,15000,17069,16102,15984,0.9085333333333333,0.22713333333333333,0.7984064678657214
val,train_windows_nonoverlap,AeCa,60000,60000,1.8924242716471353,1.8941333333333332,2097152,19564,0.01,0.009328842163085938,60000,15000,17702,16309,16648,0.9470666666666666,0.23676666666666665,0.8025081911648402
val,train_windows_nonoverlap,HaHi,60000,60000,1.7875134602864584,1.7893333333333334,2097152,19564,0.01,0.009328842163085938,60000,15000,17253,15947,16216,0.8946666666666667,0.22366666666666668,0.7778357387121081
val,train_windows_nonoverlap,AnCa,60000,60000,1.6934703572591145,1.6949333333333334,2097152,19564,0.01,0.009328842163085938,60000,15000,17523,16321,16352,0.8474666666666667,0.21186666666666668,0.7254465559550305
val,train_windows_nonoverlap,WaMe,60000,60000,1.9246068522135418,1.9264,2097152,19564,0.01,0.009328842163085938,60000,15000,17781,16358,16696,0.9632,0.2408,0.8125527248186266
test,train_windows_nonoverlap,OrSa,60000,60000,1.8421183146158855,1.8438666666666668,2097152,19564,0.01,0.009328842163085938,60000,15000,17750,16480,16556,0.9219333333333334,0.23048333333333335,0.7790985915492957
test,train_windows_nonoverlap,HoSa,60000,60000,1.6496830118815105,1.6513333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,17321,16193,16188,0.8256666666666667,0.20641666666666666,0.7150280006928006
test,train_windows_nonoverlap,DaRe,60000,60000,1.6971058675130208,1.6986666666666668,2097152,19564,0.01,0.009328842163085938,60000,15000,17295,16196,16160,0.8493333333333334,0.21233333333333335,0.736629083550159
test,train_windows_nonoverlap,ScPo,60000,60000,1.9093840861002604,1.9112,2097152,19564,0.01,0.009328842163085938,60000,15000,15615,16025,14540,0.9556,0.2389,0.9179634966378483
test,train_windows_nonoverlap,EsCo,60000,60000,1.881695320638021,1.8834666666666666,2097152,19564,0.01,0.009328842163085938,60000,15000,17676,16357,16472,0.9417333333333333,0.23543333333333333,0.799162706494682
test,train_windows_nonoverlap,YeMi,14739,14739,1.7948147042391784,1.7960512924893142,2097152,19564,0.01,0.009328842163085938,14739,3685,4285,3974,4104,0.8980256462446571,0.22450641156116427,0.7722287047841306
test,train_windows_nonoverlap,BuEb,3788,3788,1.9578777502557418,1.9577613516367476,2097152,19564,0.01,0.009328842163085938,3788,947,1244,1114,1300,0.9788806758183738,0.24472016895459345,0.7451768488745981
test,train_windows_nonoverlap,AgPh,8794,8794,1.9314746626783887,1.9322265180805094,2097152,19564,0.01,0.009328842163085938,8794,2199,2758,2486,2684,0.9661132590402547,0.24152831476006367,0.7701232777374909
